1977:04|9.76|9.18|8.98|8.80|9.25|9.66
1977:05|11.52|10.95|10.51|9.40|11.00|9.78
1977:06|9.49|9.29|9.91|11.70|11.00|9.96
1977:07|16.30|13.21|12.15|12.10|11.25|10.11
1977:08|10.08|10.71|10.12|12.20|11.00|10.39
1977:09|11.53|10.80|10.26|9.30|10.00|10.53
1977:10|8.44|8.88|9.09|9.40|10.00|10.69
1977:11|28.28|18.74|14.54|9.20|10.25|10.54
1977:12|29.77|23.76|19.21|13.40|11.50|10.62
1978:01|14.59|15.55|15.36|11.10|11.00|10.82
1978:02|12.05|11.88|11.34|12.00|10.50|10.94
1978:03|17.42|14.90|13.36|11.20|12.00|10.95
1978:04|14.85|14.01|13.68|12.90|12.25|11.19
1978:05|12.94|11.99|12.04|11.10|12.50|11.90
1978:06|12.09|12.25|12.61|11.50|12.00|12.03
1978:07|6.82|8.92|10.13|7.80|10.00|12.12
1978:08|10.92|11.02|11.36|6.20|9.50|11.67
1978:09|11.27|12.15|11.79|6.60|9.00|11.19
1978:10|13.96|15.87|15.82|9.10|10.50|11.14
1978:11|13.44|13.10|13.35|5.90|10.00|11.47
1978:12|10.40|10.93|11.78|7.20|11.50|11.70
1979:01|6.11|6.76|7.35|5.80|7.00|11.85
1979:02|7.96|9.15|9.67|5.10|8.25|11.30
1979:03|8.95|9.22|9.04|5.90|9.50|10.97
1979:04|8.68|9.33|9.00|8.60| |10.83
1979:05|10.72|9.64|9.06|7.90| |10.70
1979:06|9.33|8.89|8.93|9.30| |10.64
1979:07|9.44|9.48|9.77|8.30| |10.63
1979:08|11.32|11.42|10.90|8.90| |10.62
1979:09|24.11|16.76|14.38|8.40| |11.18
1979:10|15.06|16.56|14.11|9.90| |11.71
1979:11|13.76|12.66|12.37|11.40| |12.20
1979:12|14.42|13.17|12.47|11.20| |12.39
1980:01|10.21|11.15|11.14|9.90| |12.56
1980:02|13.40|13.94|13.71|9.50| |12.12
1980:03|15.16|15.12|14.12|12.80| |12.08
1980:04|12.53|12.80|11.70|13.90| |12.67
1980:05|12.79|11.51|11.68|13.30| |12.92
1980:06|10.00|9.98|10.53|9.60| |12.96
1980:07|9.88|10.09|10.51|9.10| |12.56
1980:08|11.25|13.13|12.26|11.40| |12.24
1980:09|13.13|12.85|12.02|11.80| |12.56
1980:10|11.38|12.42|12.23|10.10| |12.75
1980:11|12.52|13.05|13.13|11.50| |12.57
1980:12|8.45|10.40|11.45|11.00| |12.73
1981:01|12.58|12.76|11.88|10.50| |12.58
1981:02|12.48|12.40|12.36|12.50| |12.46
1981:03|11.92|12.24|11.95|10.50| |12.45
1981:04|11.98|11.52|11.44|11.50| |12.48
1981:05|12.53|13.06|13.29|11.80| |12.42
1981:06|11.68|12.07|12.61|12.30| |12.67
1981:07|12.49|13.32|13.71|11.90| |12.71
1981:08|11.39|12.76|12.81|12.50| |12.82
1981:09|13.48|13.48|14.01|10.70| |12.94
1981:10|13.21|13.78|13.78|11.30| |13.11
1981:11|16.76|14.02|13.78|13.60| |13.28
1981:12|16.68|15.14|14.93|18.60| |13.75
1982:01|11.53|13.56|13.81|11.80| |14.13
1982:02|12.82|13.79|13.91|12.10| |13.89
1982:03|16.93|16.13|15.76|13.00| |13.87
1982:04|17.62|16.18|15.57|18.00| |14.51
1982:05|17.02|15.90|15.94|16.90| |15.28
1982:06|16.39|16.70|16.56|12.50| |15.54
1982:07|20.68|17.08|16.51|17.10| |15.30
1982:08|13.45|14.55|14.51|13.00| |15.41
1982:09|14.09|15.23|14.61|12.10| |14.82
1982:10|16.18|15.52|15.01|15.30| |15.00
1982:11|15.45|15.23|14.91|14.10| |15.48
1982:12|14.43|13.98|14.20|11.00| |15.65
1983:01|12.84|13.30|13.72|12.10| |15.04
1983:02|12.63|13.56|13.51|11.40| |14.35
1983:03|14.02|13.99|14.03|12.30| |13.89
1983:04|14.20|13.48|13.42|12.90| |13.79
1983:05|14.26|13.62|13.61|13.70| |14.34
1983:06|12.79|12.91|13.10|11.90| |13.42
1983:07|12.98|12.93|13.10|11.90| |13.47
1983:08|13.03|13.01|13.07|12.60| |13.33
1983:09|12.89|13.06|12.97|11.60| |13.20
1983:10|13.13|13.20|12.91|12.10| |13.21
1983:11|13.45|12.86|12.76|12.40| |13.27
1983:12|13.47|13.03|12.99|12.30| |13.36
1984:01|12.96|12.90|12.82|13.10| | 
1984:02|13.10|12.99|12.93|11.70| | 
1984:03|13.85|13.56|13.12|13.30| | 
1984:04|13.09|13.16|12.87|12.90| | 
1984:05|12.83|12.67|12.85|13.00| | 
1984:06|12.41|12.45|12.50|12.90| | 
1984:07|12.52|12.61|12.53|11.80| | 
1984:08|12.70|12.59|12.56|12.80| | 
1984:09|12.89|13.06|13.06|12.00| | 
1984:10|13.43|13.12|12.96|12.90| | 
1984:11|13.11|13.09|12.99|13.10| | 
1984:12|13.37|12.97|12.93|12.50| | 
1985:01|11.94|12.18|12.17|10.70| | 
1985:02|11.99|12.34|12.40|12.80| | 
1985:03|11.88|12.41|12.48|11.60| | 
1985:04|13.05|12.99|12.86|13.40| | 
1985:05|12.31|12.60|12.68|12.60| | 
1985:06|12.82|12.64|12.57|13.10| | 
1985:07|12.69|12.51|12.46|12.30| | 
1985:08|12.13|12.44|12.37|12.70| | 
1985:09|12.80|12.81|12.67|11.80| | 
1985:10|12.27|12.46|12.52|11.80| | 
1985:11|12.38|12.34|12.43|12.20| | 
1985:12|12.98|12.54|12.72|12.50| | 
1986:01|12.77|13.00|13.18|13.10| | 
1986:02|12.40|13.04|13.31|13.10| | 
1986:03|13.29|13.14|13.30|13.50| | 
1986:04|14.04|14.12|14.00|13.50| | 
1986:05|14.46|13.67|13.58|18.10| | 
1986:06|14.33|14.01|14.15| | | 
1986:07|14.26|14.88|14.85| | | 
1986:08|14.44|14.34|14.38| | | 
1986:09|14.67|14.33|14.35| | | 
1986:10|14.67|14.55|14.35| | | 
1986:11|14.67|15.18|14.35|14.50| | 
1986:12|14.67|15.60|14.35|14.00| | 
