Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover
"ROMSDAL SPAREBANK";NO0010759988;ROMSB;"Euronext Growth Oslo";NOK;130.00;133.00;130.00;133.00;"01/02/2023 14:20";CET;610;80440.00
"S.D. STANDARD ETC";CY0101550917;SDSD;"Oslo Børs";NOK;2.02;2.04;2.00;2.04;"06/02/2023 16:25";CET;603613;1220200.71
"SAGA PURE";NO0010572589;SAGA;"Oslo Børs";NOK;1.7945;1.80;1.75;1.785;"06/02/2023 16:25";CET;476891;845569.13
SALMAR;NO0010310956;SALM;"Oslo Børs";NOK;430.00;439.80;428.00;436.60;"06/02/2023 16:26";CET;275009;119575456.40
"SALMON EVOLUTION";NO0010892094;SALME;"Oslo Børs";NOK;8.36;8.37;8.16;8.22;"06/02/2023 16:25";CET;454551;3737639.58
"SALMONES CAMANCHAC";NO0012451915;SACAM;"Oslo Børs";NOK;39.20;40.00;39.20;39.50;"06/02/2023 16:01";CET;2113;84300.80
"SANDNES SPAREBANK";NO0006001007;SADG;"Oslo Børs";NOK;93.00;93.00;93.00;93.00;"06/02/2023 10:00";CET;106;9858.00
"SAS AB";SE0003366871;SASNO;"Oslo Børs";NOK;0.4611;0.4622;0.4546;0.4591;"06/02/2023 16:02";CET;1812158;831155.97
SATS;NO0010863285;SATS;"Oslo Børs";NOK;8.18;8.29;8.05;8.16;"06/02/2023 16:03";CET;88721;727050.05
SCANA;NO0003053308;SCANA;"Oslo Børs";NOK;1.39;1.42;1.378;1.396;"06/02/2023 16:25";CET;827697;1156216.10
SCATEC;NO0010715139;SCATC;"Oslo Børs";NOK;84.56;84.82;79.96;81.12;"06/02/2023 16:25";CET;742628;60754212.82
"SCHIBSTED SER. A";NO0003028904;SCHA;"Oslo Børs";NOK;227.00;229.00;225.00;227.60;"06/02/2023 16:28";CET;191283;43485380.60
"SCHIBSTED SER. B";NO0010736879;SCHB;"Oslo Børs";NOK;217.00;219.40;215.60;217.20;"06/02/2023 16:25";CET;76936;16700938.00
"SEABIRD EXPLORAT";CY0101162119;SBX;"Oslo Børs";NOK;3.92;4.08;3.92;4.04;"06/02/2023 16:25";CET;353399;1411285.31
SEADRILL;BMG7997W1029;SDRL;"Oslo Børs";NOK;438.00;444.70;432.60;433.70;"06/02/2023 16:25";CET;48444;21181666.00
"SEAWAY 7";NO0010893803;SEAW7;"Euronext Growth Oslo";NOK;5.60;5.76;5.60;5.76;"06/02/2023 16:27";CET;16717;95531.54
"SELF STORAGE GROUP";NO0010781206;SSG;"Oslo Børs";NOK;23.80;24.00;23.80;23.90;"06/02/2023 16:25";CET;10279;246643.20
"SELVAAG BOLIG";NO0010612450;SBO;"Oslo Børs";NOK;35.00;35.00;33.45;33.60;"06/02/2023 16:25";CET;28256;967476.95
"SHELF DRILLING";KYG236271055;SHLF;"Oslo Børs";NOK;29.80;31.00;29.15;30.70;"06/02/2023 16:28";CET;1443120;43442961.10
"SHELF DRILLING NO";BMG236541097;SDNS;"Euronext Growth Oslo";NOK;27.995;27.995;25.50;25.75;"06/02/2023 16:25";CET;42405;1096632.73
"SIEM OFFSHORE";KYG812291253;SIOFF;"Oslo Børs";NOK;17.90;17.90;16.84;17.76;"06/02/2023 16:25";CET;343871;5950204.54
"SIKRI GROUP";NO0012548819;SIKRI;"Oslo Børs";NOK;9.098;9.098;8.88;9.09;"06/02/2023 14:36";CET;3514;31652.18
"SKANDIA GREENPOWER";NO0010931207;SKAND;"Euronext Growth Oslo";NOK;0.451;0.469;0.253;0.255;"06/02/2023 16:25";CET;1894049;727014.16
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;226.00;226.00;226.00;226.00;"06/02/2023 09:07";CET;50;11300.00
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;18.56;18.88;18.56;18.76;"06/02/2023 16:25";CET;36215;681906.01
"SMARTOPTICS GROUP";NO0011012502;SMOP;"Euronext Growth Oslo";NOK;20.00;20.60;20.00;20.30;"06/02/2023 16:25";CET;2446;49904.00
"SOFTOX SOLUTIONS";NO0010811961;SOFTX;"Euronext Growth Oslo";NOK;25.05;27.20;25.05;26.65;"06/02/2023 13:11";CET;7850;202821.15
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;147.00;147.00;147.00;147.00;"06/02/2023 11:08";CET;2;294.00
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;45.25;45.60;42.65;45.20;"06/02/2023 16:27";CET;695468;30693478.05
"SPARBNK 68 GR NORD";NO0010887110;SB68;"Euronext Growth Oslo";NOK;168.00;168.00;168.00;168.00;"03/02/2023 15:11";CET;59;9912.00
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;127.00;127.40;125.60;126.60;"06/02/2023 16:25";CET;117677;14910471.80
"SPAREBANK 1 SR-BK";NO0010631567;SRBNK;"Oslo Børs";NOK;116.90;116.90;115.10;115.40;"06/02/2023 16:25";CET;128047;14797812.60
"SPAREBANK 1 SØRØ";NO0006000207;SOON;"Oslo Børs";NOK;52.60;52.60;50.80;50.80;"06/02/2023 16:25";CET;48055;2456852.40
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;82.99;82.99;82.00;82.00;"06/02/2023 16:25";CET;10400;853701.58
"SPAREBANKEN SØR";NO0006001502;SOR;"Oslo Børs";NOK;132.00;132.00;128.50;132.00;"06/02/2023 13:51";CET;1411;185227.00
"SPAREBANKEN VEST";NO0006000900;SVEG;"Oslo Børs";NOK;98.60;99.50;96.60;98.20;"06/02/2023 16:25";CET;112790;11090078.50
"SPAREBANKEN ØST";NO0006222009;SPOG;"Oslo Børs";NOK;48.40;48.40;47.70;47.80;"06/02/2023 16:25";CET;5620;269685.30
"SPBK 1 NORDMØRE";NO0010691660;SNOR;"Oslo Børs";NOK;124.00;124.00;124.00;124.00;"06/02/2023 11:03";CET;1510;187240.00
"SPBK 1 ØSTLANDET";NO0010751910;SPOL;"Oslo Børs";NOK;115.40;115.40;114.40;114.40;"06/02/2023 16:25";CET;13376;1533017.80
"SPBK1 HELGELAND";NO0010029804;HELG;"Oslo Børs";NOK;120.00;120.00;120.00;120.00;"06/02/2023 09:00";CET;500;60000.00
"SPBK1 NORD-NORGE";NO0006000801;NONG;"Oslo Børs";NOK;93.00;93.10;92.20;92.90;"06/02/2023 16:25";CET;56536;5240741.10
"SPBK1 RINGERIKE";NO0006390400;RING;"Oslo Børs";NOK;332.00;332.00;332.00;332.00;"03/02/2023 12:57";CET;300;99600.00
"SPBK1 ØSTFOLD AKE";NO0010285562;SOAG;"Oslo Børs";NOK;320.00;320.00;320.00;320.00;"03/02/2023 11:08";CET;320;102400.00
"STANDARD SUPPLY";NO0012547308;STSU;"Euronext Growth Oslo";NOK;4.801;4.9885;4.80;4.844;"06/02/2023 16:13";CET;464013;2258085.87
"STATT TORSK";NO0010775844;STATT;"Euronext Growth Oslo";NOK;1.52;1.53;1.49;1.51;"06/02/2023 16:16";CET;212315;320889.27
STOLT-NIELSEN;BMG850801025;SNI;"Oslo Børs";NOK;280.00;284.00;274.00;282.50;"06/02/2023 16:27";CET;101588;28403163.50
STOREBRAND;NO0003053605;STB;"Oslo Børs";NOK;87.64;88.06;86.78;87.90;"06/02/2023 16:29";CET;829517;72630602.58
STRONGPOINT;NO0010098247;STRO;"Oslo Børs";NOK;21.55;21.80;21.10;21.50;"06/02/2023 16:25";CET;20194;434972.05
"SUBSEA 7";LU0075646355;SUBC;"Oslo Børs";NOK;119.35;119.70;116.55;118.80;"06/02/2023 16:25";CET;418459;49588070.10
"SUNNDAL SPAREBANK";NO0010672900;SUNSB;"Euronext Growth Oslo";NOK;127.00;127.00;127.00;127.00;"02/02/2023 14:53";CET;50;6350.00
TARGOVAX;NO0010689326;TRVX;"Oslo Børs";NOK;1.03;1.03;0.961;0.985;"06/02/2023 16:25";CET;403214;397775.60
TECHSTEP;NO0003095309;TECH;"Oslo Børs";NOK;1.13;1.13;1.04;1.06;"06/02/2023 16:25";CET;98359;103353.81
"TECO 2030";NO0010887516;TECO;"Euronext Growth Oslo";NOK;9.64;9.99;9.23;9.40;"06/02/2023 16:25";CET;159914;1517383.88
"TEKNA HOLDING";NO0010951577;TEKNA;"Oslo Børs";NOK;7.98;8.00;7.60;7.80;"06/02/2023 16:25";CET;76338;598813.38
TELENOR;NO0010063308;TEL;"Oslo Børs";NOK;113.50;113.65;110.55;110.55;"06/02/2023 16:29";CET;2563353;284596532.45
TGS;NO0003078800;TGS;"Oslo Børs";NOK;161.60;163.60;160.00;161.80;"06/02/2023 16:25";CET;364531;59033237.50
"THE KINGFISH COMP";NL00150001S5;KING;"Euronext Growth Oslo";NOK;12.25;12.25;12.25;12.25;"06/02/2023 12:30";CET;1970;24132.50
TIETOEVRY;FI0009000277;TIETO;"Oslo Børs";NOK;318.40;319.40;315.00;315.20;"06/02/2023 14:54";CET;8371;2656133.00
"TOMRA SYSTEMS";NO0012470089;TOM;"Oslo Børs";NOK;173.96;177.28;172.30;175.20;"06/02/2023 16:25";CET;317699;55552887.52
"TOTENS SPAREBANK";NO0006001205;TOTG;"Oslo Børs";NOK;204.00;208.00;204.00;208.00;"06/02/2023 12:19";CET;217;44488.00
TREASURE;NO0010763550;TRE;"Oslo Børs";NOK;17.50;18.35;17.50;18.05;"06/02/2023 14:40";CET;1429;25469.55
"TYSNES SPAREBANK";NO0010731615;TYSB;"Euronext Growth Oslo";NOK;111.00;115.00;111.00;115.00;"03/02/2023 13:32";CET;1444;161284.00
ULTIMOVACS;NO0010851603;ULTI;"Oslo Børs";NOK;125.20;128.60;124.00;128.00;"06/02/2023 16:25";CET;56377;7131633.40
VEIDEKKE;NO0005806802;VEI;"Oslo Børs";NOK;106.00;106.00;103.80;105.00;"06/02/2023 16:25";CET;56166;5887015.00
"VISTIN PHARMA";NO0010734122;VISTN;"Oslo Børs";NOK;16.70;16.70;16.30;16.50;"06/02/2023 12:08";CET;90;1501.60
VOLUE;NO0010894603;VOLUE;"Oslo Børs";NOK;31.00;31.95;31.00;31.95;"06/02/2023 16:25";CET;6277;197717.45
"VOSS VEKSEL OGLAND";NO0003025009;VVL;"Oslo Børs";NOK;224.00;224.00;222.00;222.00;"06/02/2023 14:58";CET;57;12764.00
VOW;NO0010708068;VOW;"Oslo Børs";NOK;19.90;19.90;19.38;19.86;"06/02/2023 16:25";CET;27467;541009.60
"VOW GREEN METALS";NO0011037483;VGM;"Euronext Growth Oslo";NOK;2.42;2.57;2.405;2.405;"06/02/2023 16:25";CET;27175;66593.76
"VÅR ENERGI";NO0011202772;VAR;"Oslo Børs";NOK;29.895;30.145;29.65;29.65;"06/02/2023 16:26";CET;2199149;65625322.57
"WALLENIUS WILHELMS";NO0010571680;WAWI;"Oslo Børs";NOK;87.15;88.25;85.35;87.80;"06/02/2023 16:25";CET;462661;40069999.45
"WASTE PLASTIC UPCY";DK0061676400;WPU;"Euronext Growth Oslo";NOK;24.00;27.00;24.00;26.995;"06/02/2023 16:25";CET;7368;192042.00
WEBSTEP;NO0010609662;WSTEP;"Oslo Børs";NOK;26.50;26.70;26.00;26.10;"06/02/2023 14:18";CET;5605;147291.10
"WESTERN BULK CHART";NO0010768096;WEST;"Euronext Growth Oslo";NOK;43.40;44.20;43.00;43.30;"06/02/2023 16:25";CET;15112;654524.50
"WILH. WILHELMSEN A";NO0010571698;WWI;"Oslo Børs";NOK;279.00;279.00;268.00;268.00;"06/02/2023 16:25";CET;6513;1766694.00
"WILH. WILHELMSEN B";NO0010576010;WWIB;"Oslo Børs";NOK;257.00;258.00;252.00;255.00;"06/02/2023 16:25";CET;1244;317773.00
WILSON;NO0010252356;WILS;"Oslo Børs";NOK;68.20;68.40;68.00;68.20;"06/02/2023 16:10";CET;1559;106433.40
"XPLORA TECHNOLOGIE";NO0010895782;XPLRA;"Euronext Growth Oslo";NOK;9.30;9.31;9.04;9.29;"06/02/2023 16:25";CET;73590;676031.97
XXL;NO0010716863;XXL;"Oslo Børs";NOK;4.148;4.148;3.83;3.85;"06/02/2023 16:25";CET;312686;1214126.34
"YARA INTERNATIONAL";NO0010208051;YAR;"Oslo Børs";NOK;456.00;456.50;447.80;447.80;"06/02/2023 16:25";CET;302841;136542020.00
ZALARIS;NO0010708910;ZAL;"Oslo Børs";NOK;35.00;35.20;34.20;35.20;"06/02/2023 16:16";CET;8613;299596.20
ZAPTEC;NO0010713936;ZAP;"Oslo Børs";NOK;25.80;25.89;24.54;24.63;"06/02/2023 16:25";CET;241954;6077694.67
"ZENITH ENERGY";CA98936C1068;ZENA;"Euronext Growth Oslo";NOK;0.099;0.099;0.0964;0.0975;"06/02/2023 16:18";CET;5263925;514116.05
ZWIPE;NO0010721277;ZWIPE;"Euronext Growth Oslo";NOK;5.71;6.67;5.71;6.28;"06/02/2023 16:25";CET;39218;242746.05
