"","word","positive","negative","freq","idf"
"91","operate",0.82,0,831,3.52165281767737
"92","leading",0.816,0,5893,1.81191955190995
"93","casino",0.82,0.004,289,5.51582970770252
"94","operators",0.816,0,590,4.07344587993159
"95","heat",0.83,0.014,267,5.33190686954159
"96","elliptic",0.822,0.008,901,5.70587331059038
"97","develop",0.814,0,1567,2.98473089321967
"98","arc",0.818,0.004,87,6.08268316293817
"99","hospitals",0.81,0,151,5.40663041573753
"100","arm",0.81,0,89,6.42255098856052
"101","payment",0.812,0.004,2972,2.71130450429969
"102","european",0.806,0,1676,3.06931078476391
"103","digital",0.806,0,2120,3.12847934808076
"104","learning",0.802,0,491,5.08504679161007
"105","support",0.802,0,3579,2.28092912176162
"106","software",0.802,0,2158,3.19419641973778
"107","provide",0.802,0,2803,2.38452485692865
"108","competitive",0.802,0,739,3.67558537120864
"109","equipment",0.802,0,1433,3.24053675699648
"110","hstation",0.808,0.006,136,6.15288742161142
"111","technological",0.802,0,217,4.8770168781059
"112","sippi",0.824,0.022,205,6.49665896071425
"113","clients",0.8,0,1525,3.15988614656866
"114","transformation",0.8,0,492,4.27689821835561
"115","online",0.798,0,1410,3.41028941305532
"116","health",0.798,0,1154,3.52690217356352
"117","largest",0.796,0,2731,2.44688271797202
"118","thinfilm",0.814,0.018,870,4.8770168781059
"119","roll",0.796,0,61,6.11716933900934
"120","disinfectant",0.8,0.01,38,7.1644883332899
"121","thinol",0.79,0.002,55,6.37603097292563
"122","potentially",0.79,0.004,272,4.68375705491238
"123","products",0.786,0,5222,2.18396866309827
"124","unique",0.782,0,1444,3.07767203748859
"125","citizens",0.786,0.004,54,6.26840030873327
"126","collaboration",0.778,0,1687,3.15624647012121
"127","navamedic",0.786,0.008,479,5.30819034292428
"128","gig",0.808,0.032,934,4.90794717879726
"129","printed",0.788,0.014,466,4.96726375595368
"130","sportsbook",0.778,0.004,113,6.20897688826247
"131","selected",0.774,0,795,3.61056986461008
"132","enable",0.772,0,1475,2.97862866223203
"133","protection",0.772,0,241,4.90272523481611
"134","renewable",0.776,0.004,1440,3.37237562453431
"135","skin",0.772,0,144,5.89754072980258
"136","truly",0.768,0,356,4.30514868464147
"137","consideration",0.772,0.006,1419,3.51512963733825
"138","løvestam",0.768,0.002,76,6.06587604462179
"139","far",0.764,0,515,4.05990165482383
"140","fintech",0.762,0,394,5.30040820248222
"141","unmatched",0.76,0,108,5.49678151273183
"142","induce",0.76,0,41,6.52263444711751
"143","lymrit",0.756,0,46,6.94134478197569
"144","dose",0.766,0.012,176,5.95552798745293
"145","resistance",0.754,0,106,5.79077275437687
"146","dosing",0.752,0,59,6.47134115272996
"147","enables",0.752,0,970,3.39057862999139
"148","exclusive",0.754,0.002,402,4.33127498923369
"149","jersey",0.752,0,61,6.63386008222773
"150","advanced",0.752,0,2006,2.84500221709092
"151","rein",0.752,0,65,6.24819760141575
"152","manufacturing",0.75,0,941,3.73535158293851
"153","skajem",0.75,0.002,78,6.289019595936
"154","lng",0.768,0.02,786,4.4236483093647
"155","nhl",0.748,0,107,6.44664854013959
"156","crayon",0.76,0.012,565,5.70587331059038
"157","kyoto",0.802,0.056,262,6.66371304537741
"158","salt",0.75,0.004,76,6.42255098856052
"159","clinical",0.754,0.01,1572,3.71133121269704
"160","todays",0.74,0,449,4.13435463301858
"161","leader",0.74,0,2055,2.6980056670757
"162","expand",0.74,0,674,3.74022567869675
"163","equinor",0.74,0,563,4.66305238155069
"164","respiratory",0.742,0.002,61,6.63386008222773
"165","potential",0.738,0,3270,2.36498567784172
"166","service",0.738,0,2535,2.67753877868924
"167","surface",0.738,0,194,5.07262427161151
"168","multiyear",0.738,0,71,6.0330862217988
"169","jointly",0.736,0,344,4.42687932994615
"170","device",0.738,0.002,387,4.50422879602404
"171","opportunity",0.73,0,1223,3.18107533177508
"172","analytics",0.73,0,289,4.73527058936249
"173","hofshagen",0.73,0,27,6.86438374083956
"174","magnushofshagencrayoncom",0.73,0,27,6.86438374083956
"175","shows",0.728,0,387,4.27968762044319
"176","institutions",0.728,0,228,4.91319653468341
"177","owned",0.726,0,2470,2.52395100346452
"178","exciting",0.726,0,678,3.72567408805644
"179","partnership",0.724,0,1614,3.18761435554214
"180","corp",0.724,0,128,5.74137999904729
"181","ecosystem",0.722,0,340,4.53259949315326
"182","sensor",0.752,0.03,1875,3.8304997013212
"183","hospital",0.728,0.006,423,4.8669157821194
"184","acute",0.722,0,60,6.44664854013959
"185","amendment",0.724,0.004,176,5.27741868425752
"186","provides",0.722,0.002,1968,2.69056643391176
"187","connectivity",0.724,0.004,291,4.91319653468341
"188","cards",0.752,0.034,1057,4.36112795238337
"189","council",0.718,0,268,4.79424459182204
"190","huddlestock",0.738,0.022,464,6.09977759629747
"191","scale",0.716,0,881,3.54148162332667
"192","scaling",0.714,0,97,5.68288379236569
"193","strong",0.714,0,3878,2.22070534618149
"194","significantly",0.714,0,937,3.42206811224794
"195","tools",0.712,0,328,4.47324525050407
"196","card",0.746,0.036,1347,4.1762843261567
"197","norways",0.71,0,454,4.16875605973591
"198","single",0.71,0,438,4.22004935412346
"199","nordics",0.712,0.004,485,4.230631463454
"200","badin",0.706,0,248,5.35619956211064
"201","mutant",0.716,0.01,54,7.38763188460411
"202","algorithms",0.704,0,107,5.67158423711175
"203","knowhow",0.702,0,115,5.50626025668637
"204","contactless",0.712,0.012,180,5.69431248818931
"205","wireless",0.7,0,212,5.05427513294331
"206","direct",0.702,0.002,552,3.99480275261247
"207","euro",0.704,0.004,187,5.35619956211064
"208","based",0.698,0,4774,1.95390988104987
"209","amortization",0.712,0.016,125,5.8035117801543
"210","expertise",0.696,0,1349,3.15897498477442
"211","obtaining",0.698,0.002,102,5.58550962834051
"212","convenience",0.698,0.004,168,5.15627430089843
"213","wifi",0.694,0,47,7.26984884894773
"214","sutija",0.692,0,92,5.82948726655756
"215","see",0.692,0,2718,2.3527105646277
"216","bringing",0.692,0,421,4.16625917953732
"217","tumor",0.722,0.03,131,5.70587331059038
"218","observed",0.708,0.018,68,6.13486891610874
"219","maintenance",0.692,0.002,927,3.75664640890908
"220","installed",0.686,0,435,4.28248482506425
"221","medicines",0.686,0,84,5.91172536479453
"222","shipment",0.694,0.008,57,6.3315792103548
"223","biomass",0.684,0,269,4.96172357557807
"224","supplier",0.684,0,1287,3.18949052870037
"225","extremely",0.684,0,373,4.2937525499106
"226","hrs",0.688,0.004,169,5.14294077002897
"227","hygiene",0.688,0.006,47,6.42255098856052
"228","delivering",0.682,0,1076,3.27368896431338
"229","harmonychain",0.76,0.078,116,6.72623340235875
"230","forma",0.68,0,68,6.31007300513383
"231","benelux",0.678,0,56,6.52263444711751
"232","treasure",0.678,0,67,7.21578162767745
"233","waste",0.692,0.014,1397,3.9740119829434
"234","conventional",0.678,0,226,4.84210061299968
"235","oceans",0.676,0,217,5.02442216979363
"236","grid",0.676,0,276,4.8770168781059
"237","thermal",0.694,0.018,445,4.61504316236433
"238","fueling",0.698,0.022,455,5.05427513294331
"239","commented",0.676,0.002,715,3.66495505090688
"240","identity",0.672,0,115,5.77819397217001
"241","letter",0.672,0,840,3.6847878901398
"242","bacterial",0.672,0,55,6.66371304537741
"243","mwh",0.67,0,98,6.06587604462179
"244","tract",0.67,0,41,6.86438374083956
"245","asic",0.75,0.08,96,6.37603097292563
"246","one",0.668,0,5933,1.76091045608437
"247","term",0.668,0,1554,3.04058496882626
"248","synergies",0.668,0,313,4.58427150369758
"249","nel",0.726,0.06,1278,4.5918761030828
"250","issuers",0.674,0.01,171,5.25494582840546
"251","heritage",0.664,0,72,6.00133752348422
"252","akva",0.67,0.008,484,5.47808937971967
"253","frontend",0.662,0,89,5.85615551363972
"254","includes",0.662,0,2101,2.61430245563457
"255","nfc",0.676,0.016,507,5.45974024105148
"256","farmers",0.662,0.004,174,5.10397480149558
"257","electronics",0.676,0.02,1049,4.23864218720008
"258","mnok",0.674,0.02,1215,3.74022567869675
"259","davor",0.654,0,83,5.82948726655756
"260","fuels",0.658,0.004,406,4.42042769466466
"261","europes",0.652,0,234,4.78032325330343
"262","memory",0.676,0.024,189,5.57525312817332
"263","theft",0.652,0,46,6.35355811707357
"264","wearables",0.654,0.002,185,4.97283480100314
"265","lifecare",0.732,0.08,362,6.15288742161142
"266","first",0.652,0.002,7315,1.73251458192919
"267","represent",0.65,0,442,4.20957805425617
"268","digitalization",0.65,0,90,5.84273249330758
"269","ras",0.682,0.034,282,4.87195357614936
"270","recognition",0.648,0,341,4.52900882502253
"271","improved",0.648,0,761,3.75004572487773
"272","viral",0.648,0,55,6.86438374083956
"273","clinically",0.646,0,34,6.72623340235875
"274","san",0.646,0,295,5.01855705034123
"275","volatility",0.656,0.01,85,5.95552798745293
"276","medtech",0.648,0.002,78,6.09977759629747
"277","therapies",0.65,0.006,206,5.16978802006516
"278","trade",0.644,0,754,3.748402339134
"279","enter",0.644,0,447,4.15880572888274
"280","henrikbadinscanshipno",0.644,0,53,6.18992869329177
"281","maximising",0.644,0,37,6.57670166838778
"282","ultrasound",0.642,0,394,5.03032189192082
"283","preclinical",0.642,0,151,5.53524779355962
"284","announce",0.64,0,1893,2.65362882677305
"285","locations",0.64,0,450,4.18641099497463
"286","drugs",0.64,0.002,163,5.51582970770252
"287","sensorfusion",0.638,0,160,5.81641518499021
"288","implantable",0.642,0.004,30,6.82801609666869
"289","bulk",0.636,0,558,4.44648780133452
"290","lilotomab",0.674,0.038,49,7.11569816912047
"291","entitled",0.634,0,235,4.8669157821194
"292","system",0.634,0,2529,2.84367242966092
"293","transportation",0.634,0,1029,3.4656585483228
"294","advisory",0.638,0.004,306,4.67128288068721
"295","moulin",0.64,0.006,33,7.26984884894773
"296","havila",0.682,0.05,255,5.48739177238199
"297","fda",0.648,0.018,136,5.98583333694826
"298","various",0.63,0.002,1043,3.30797803779201
"299","models",0.628,0.002,235,4.8669157821194
"300","quarters",0.628,0.002,236,4.85195290944269
"301","nio",0.706,0.08,236,6.63386008222773
"302","disposable",0.624,0,83,5.8035117801543
"303","preparing",0.624,0,136,5.28502328364274
"304","smartcard",0.622,0,48,6.63386008222773
"305","create",0.622,0,941,3.46318635917741
"306","heuman",0.644,0.022,107,6.01708588045236
"307","cofounder",0.628,0.008,93,5.74137999904729
"308","demonstrates",0.62,0,315,4.43990883023648
"309","jeshuddlestockcom",0.62,0,28,6.94134478197569
"310","tumour",0.622,0.004,69,6.24819760141575
"311","roadmap",0.618,0,173,5.16978802006516
"312","affiliate",0.672,0.054,129,5.71756935035358
"313","begin",0.616,0,280,4.60339254514435
"314","innovative",0.618,0.002,1457,3.08525740887785
"315","cost",0.622,0.008,2203,2.79377545851629
"316","indications",0.622,0.008,145,5.4240221584494
"317","combination",0.618,0.004,1382,3.4644216897854
"318","commitment",0.614,0,688,3.75664640890908
"319","archer",0.678,0.064,444,5.36443006124715
"320","disruptive",0.616,0.004,109,5.64936110032704
"321","mobile",0.614,0.002,3570,2.62813246330217
"322","green",0.64,0.028,2452,3.20177221354624
"323","addressing",0.61,0,149,5.18348686442332
"324","signed",0.608,0,2696,2.42173248434925
"325","loi",0.618,0.01,215,5.37272886406185
"326","regimens",0.608,0,21,7.38763188460411
"327","efficient",0.606,0,1345,3.06598576091914
"328","california",0.64,0.034,282,4.81788635487908
"329","launch",0.632,0.028,838,3.78179442319231
"330","facility",0.61,0.006,2908,2.88851689995653
"331","grow",0.604,0,787,3.59354817704065
"332","polight",0.664,0.06,370,6.00133752348422
"333","ecofriendly",0.604,0,52,6.26840030873327
"334","electrolyzer",0.604,0,61,6.86438374083956
"335","demerger",0.604,0.004,249,5.75350135957964
"336","highest",0.6,0,583,3.94361450575903
"337","websites",0.6,0,104,5.85615551363972
"338","generating",0.602,0.002,170,5.19737597658399
"339","production",0.61,0.012,8478,1.97319953950039
"340","patients",0.64,0.042,1598,3.98435333673813
"341","commercial",0.602,0.004,2396,2.68999647094393
"342","installations",0.598,0,383,4.41401741630374
"343","laboratory",0.598,0,110,5.81641518499021
"344","upcoming",0.598,0,312,4.48004799782683
"345","scientific",0.602,0.004,303,4.71348323517758
"346","tilapia",0.622,0.024,49,7.32700726278768
"347","sports",0.602,0.006,477,4.96172357557807
"348","worldwide",0.598,0.002,1577,2.85839826470596
"349","partnering",0.594,0,168,5.12326800443026
"350","access",0.6,0.006,1769,2.99937470017959
"351","tactilis",0.616,0.022,114,7.45217040574168
"352","barcode",0.598,0.006,80,5.98583333694826
"353","karolinska",0.596,0.004,38,7.1644883332899
"354","availability",0.59,0,167,5.08504679161007
"355","designation",0.598,0.008,87,6.75902322518174
"356","modular",0.592,0.002,172,5.38953598237823
"357","roro",0.59,0,48,6.44664854013959
"358","compelling",0.588,0,124,5.41528847848064
"359","departments",0.588,0,51,6.37603097292563
"360","paths",0.588,0,22,7.06917815348558
"361","electrification",0.594,0.008,227,4.97843705655181
"362","treatment",0.6,0.014,1484,3.68632991049162
"363","manufacturer",0.584,0,325,4.53259949315326
"364","millions",0.586,0.002,157,5.24023968101577
"365","electric",0.61,0.026,578,4.37332322547719
"366","launching",0.584,0.002,124,5.40663041573753
"367","merchants",0.584,0.002,74,6.00133752348422
"368","keytruda",0.586,0.004,100,6.79292477685742
"369","schlumberger",0.624,0.042,107,6.31007300513383
"370","wounds",0.616,0.034,136,6.24819760141575
"371","pipe",0.582,0,76,6.08268316293817
"372","threats",0.584,0.004,47,6.57670166838778
"373","cbm",0.584,0.004,109,6.00133752348422
"374","gaming",0.612,0.034,808,4.40764796801826
"375","smartcards",0.578,0,77,5.94071290166779
"376","heating",0.578,0,168,5.54510009000263
"377","cleaner",0.578,0,245,4.76659306049153
"378","iot",0.642,0.064,376,4.75754322497161
"379","antibiotics",0.592,0.014,86,6.01708588045236
"380","doses",0.576,0,25,6.98216677649595
"381","footprint",0.574,0,548,3.98435333673813
"382","hematology",0.584,0.01,28,7.11569816912047
"383","spain",0.58,0.006,657,4.07117573139705
"384","purification",0.574,0,76,6.11716933900934
"385","purified",0.574,0,31,6.75902322518174
"386","awards",0.576,0.004,388,4.57672429806219
"387","traditionally",0.576,0.004,37,6.60487254535448
"388","engine",0.57,0,103,5.85615551363972
"389","smith",0.57,0,84,6.01708588045236
"390","tolerated",0.568,0,34,6.72623340235875
"391","across",0.566,0,2430,2.68544842444602
"392","sources",0.572,0.006,216,4.9562139197671
"393","server",0.566,0,103,5.95552798745293
"394","consumers",0.566,0.002,547,4.31378183178617
"395","developing",0.568,0.004,1680,2.9391155086614
"396","korea",0.564,0,397,4.48004799782683
"397","spirits",0.564,0,39,7.11569816912047
"398","residuals",0.564,0,26,6.90212406882241
"399","infrastructure",0.562,0,1501,3.28498851956732
"400","strengthens",0.562,0,258,4.64679186067891
"401","player",0.562,0,410,4.24132675257075
"402","swan",0.562,0,35,7.06917815348558
"403","waiting",0.562,0,51,6.26840030873327
"404","irrigation",0.562,0,30,7.32700726278768
"405","reduction",0.59,0.03,879,3.67711325538669
"406","subsidiaries",0.56,0,846,3.53085735340644
"407","sensors",0.596,0.036,1207,3.84305592009661
"408","meets",0.56,0,136,5.25494582840546
"409","label",0.558,0,159,5.32393869989242
"410","observe",0.604,0.046,290,5.20439354924263
"411","along",0.558,0,379,4.29092369371012
"412","regardless",0.562,0.004,45,6.35355811707357
"413","intake",0.558,0.002,207,5.11679548992465
"414","license",0.57,0.014,1100,3.60486371503323
"415","pitfalls",0.558,0.002,41,6.44664854013959
"416","within",0.556,0,4558,2.02810183388809
"417","milestones",0.556,0,125,5.45974024105148
"418","nava",0.556,0,99,5.88355448782784
"419","remotely",0.558,0.002,73,6.06587604462179
"420","handled",0.554,0,66,6.00133752348422
"421","optimal",0.554,0,275,4.62288633982536
"422","rewritable",0.554,0.002,56,6.22839497411957
"423","hard",0.552,0,341,4.55074881165893
"424","steam",0.554,0.002,53,6.39902049115033
"425","drill",0.586,0.036,156,5.52549161861426
"426","substantial",0.55,0,682,3.76495900872844
"427","competence",0.55,0,443,4.24132675257075
"428","treated",0.55,0,127,5.47808937971967
"429","animal",0.558,0.008,135,5.50626025668637
"430","commercialize",0.548,0,125,5.36443006124715
"431","stangeland",0.562,0.014,49,6.86438374083956
"432","vision",0.548,0,718,3.71133121269704
"433","plants",0.56,0.014,1092,3.78860875961204
"434","inc",0.554,0.008,1180,3.43278888199304
"435","meet",0.546,0,749,3.6589309363035
"436","wireline",0.548,0.002,41,7.02472639091474
"437","aquaculture",0.55,0.006,746,4.28528987599186
"438","annualized",0.544,0,40,6.72623340235875
"439","danielsen",0.542,0,110,5.57525312817332
"440","antibody",0.548,0.008,97,5.88355448782784
"441","demonstrating",0.54,0,131,5.33190686954159
"442","large",0.54,0,2162,2.65637986014494
"443","utilization",0.544,0.004,429,4.34609007501883
"444","statkraft",0.54,0,107,6.54930269419967
"445","discuss",0.538,0,156,5.13634008599762
"446","generation",0.55,0.012,755,3.82339487569745
"447","station",0.548,0.01,542,4.64276771037918
"448","real",0.552,0.014,686,4.013891349175
"449","encryption",0.548,0.012,44,7.06917815348558
"450","long",0.536,0,1390,3.06432738574636
"451","centric",0.534,0,45,6.37603097292563
"452","proud",0.534,0,913,3.39172739519526
"453","target",0.538,0.004,844,3.64402753080093
"454","shell",0.558,0.024,245,5.20439354924263
"455","casinos",0.534,0,30,7.1644883332899
"456","specialty",0.532,0,234,4.84210061299968
"457","german",0.544,0.012,293,4.85691569878482
"458","especially",0.532,0,293,4.52900882502253
"459","clusters",0.532,0,48,6.66371304537741
"460","barents",0.53,0,216,5.27741868425752
"461","consulting",0.53,0,309,4.78494219915973
"462","investment",0.536,0.006,2680,2.70839837031596
"463","sector",0.536,0.006,1549,3.08779870630652
"464","electrolyser",0.578,0.048,349,5.29268615638831
"465","optional",0.534,0.004,168,5.26987147862214
"466","gundersen",0.532,0.002,115,5.71756935035358
"467","entities",0.536,0.008,196,5.13634008599762
"468","players",0.55,0.022,428,4.39502950405905
"469","hereid",0.528,0,22,7.11569816912047
"470","miniaturized",0.576,0.048,29,7.02472639091474
"471","deferral",0.574,0.046,54,6.47134115272996
"472","psw",0.554,0.028,113,7.26984884894773
"473","enabling",0.526,0.002,545,3.94761451109237
"474","order",0.528,0.006,3426,2.45136100579672
"475","represents",0.522,0,1075,3.27368896431338
"476","provision",0.524,0.002,313,4.53259949315326
"477","battery",0.54,0.018,736,4.22532641122431
"478","wwasa",0.524,0.002,72,7.52116327722863
"479","bareboat",0.556,0.036,185,5.46887272461475
"480","lowcost",0.522,0.002,153,5.3160335203853
"481","produce",0.52,0,753,3.65593243330725
"482","targeting",0.522,0.002,393,4.25485875878932
"483","users",0.526,0.006,571,4.17880639558941
"484","serious",0.522,0.002,88,5.82948726655756
"485","education",0.518,0,150,5.51582970770252
"486","university",0.518,0,894,3.66798077182342
"487","according",0.518,0,1295,3.07851202073832
"488","continuity",0.518,0,125,5.48739177238199
"489","accelerating",0.518,0,148,5.21146071646572
"490","elabsol",0.516,0,35,6.60487254535448
"491","focused",0.52,0.004,1002,3.34129654156837
"492","promising",0.516,0,335,4.55810178596419
"493","treat",0.522,0.006,147,5.27741868425752
"494","development",0.522,0.008,8734,1.68635254016603
"495","accelerate",0.514,0,511,4.07572119376872
"496","charterer",0.518,0.004,55,6.289019595936
"497","zwipes",0.552,0.038,112,6.01708588045236
"498","siemens",0.514,0,130,6.24819760141575
"499","integrity",0.532,0.018,108,5.59587241537606
"500","mitsui",0.534,0.02,69,6.82801609666869
"501","refuelling",0.564,0.05,120,6.47134115272996
"502","covering",0.512,0,320,4.44648780133452
"503","storage",0.526,0.014,1901,3.42920250636181
"504","antitumor",0.522,0.01,29,7.02472639091474
"505","plt",0.526,0.014,35,6.60487254535448
"506","electrolysers",0.552,0.04,63,6.47134115272996
"507","professor",0.544,0.034,184,5.3160335203853
"508","solid",0.51,0,1132,3.29850926636316
"509","cpi",0.51,0,52,7.38763188460411
"510","highpressure",0.526,0.016,191,5.26987147862214
"511","fujitsu",0.548,0.038,47,7.32700726278768
"512","can",0.512,0.004,4995,1.9111683326726
"513","design",0.518,0.01,2163,2.82003377152378
"514","highly",0.508,0,1097,3.27266803517928
"515","jackup",0.51,0.002,197,5.28502328364274
"516","disinfection",0.602,0.096,78,6.75902322518174
"517","vehicles",0.54,0.034,772,4.16128404489721
"518","contingent",0.534,0.028,165,5.45974024105148
"519","biocarbon",0.552,0.048,111,6.75902322518174
"520","creating",0.504,0,634,3.77671397195989
"521","etia",0.526,0.022,139,5.84273249330758
"522","processing",0.504,0,1143,3.32181540599655
"523","rock",0.526,0.022,137,5.85615551363972
"524","subsidiary",0.504,0,2832,2.38915352077849
"525","human",0.522,0.018,538,4.13194208661319
"526","autofocus",0.508,0.004,63,6.06587604462179
"527","negotiate",0.504,0,32,6.72623340235875
"528","renamed",0.504,0,62,6.13486891610874
"529","network",0.516,0.014,1384,3.39749109991201
"530","managed",0.504,0.002,486,4.23329458087348
"531","alkaline",0.504,0.002,93,6.00133752348422
"532","applications",0.502,0.002,1471,3.2046279984476
"533","agasti",0.626,0.126,225,6.00133752348422
"534","history",0.5,0,367,4.30228745236043
"535","achievement",0.53,0.03,152,5.30819034292428
"536","birkeland",0.5,0,38,7.02472639091474
"537","adenovirus",0.502,0.002,34,6.90212406882241
"538","royalty",0.544,0.044,96,5.8035117801543
"539","volvo",0.5,0,35,7.11569816912047
"540","ecosystems",0.502,0.002,26,6.94134478197569
"541","viruses",0.528,0.03,95,6.04934674267058
"542","takle",0.498,0,44,6.72623340235875
"543","nonbinding",0.516,0.018,36,6.72623340235875
"544","certification",0.522,0.026,373,4.85195290944269
"545","notebooks",0.5,0.004,29,6.86438374083956
"546","decades",0.496,0,223,4.78958257871623
"547","ambitions",0.494,0,515,4.06439604441167
"548","nasams",0.494,0,81,7.11569816912047
"549","skog",0.512,0.018,437,5.88355448782784
"550","decarbonisation",0.492,0,66,6.08268316293817
"551","maximise",0.492,0,80,5.8035117801543
"552","tech",0.502,0.01,309,5.04222679442714
"553","france",0.512,0.02,533,4.09411251674014
"554","predictive",0.492,0,73,5.89754072980258
"555","germany",0.506,0.016,1015,3.59636508031177
"556","outsourcing",0.49,0,119,5.79077275437687
"557","configured",0.49,0,18,7.26984884894773
"558","gamborg",0.49,0,46,6.75902322518174
"559","say",0.49,0,62,6.08268316293817
"560","batteryless",0.496,0.008,24,7.02472639091474
"561","combat",0.488,0,107,5.8035117801543
"562","box",0.488,0,64,6.15288742161142
"563","congo",0.618,0.13,172,6.11716933900934
"564","silicon",0.496,0.01,626,4.40131883296661
"565","globally",0.488,0.002,715,3.69097029004812
"566","owners",0.486,0,717,3.73859833903738
"567","companies",0.486,0.002,4573,2.08215272502846
"568","urine",0.504,0.02,72,6.69448470404417
"569","systemic",0.54,0.056,55,6.44664854013959
"570","nonhodgkin",0.484,0,19,7.45217040574168
"571","akvas",0.482,0,36,7.06917815348558
"572","army",0.482,0,66,6.47134115272996
"573","hudl",0.482,0,48,6.69448470404417
"574","therapy",0.52,0.04,330,5.01855705034123
"575","contribute",0.48,0,779,3.61343519608337
"576","transition",0.48,0,904,3.59636508031177
"577","autoliners",0.494,0.014,85,6.79292477685742
"578","landmark",0.48,0,74,5.95552798745293
"579","fullservice",0.48,0,51,6.3315792103548
"580","acceptable",0.478,0,60,6.09977759629747
"581","cell",0.514,0.036,889,3.95163058074726
"582","intelligence",0.488,0.01,350,4.47324525050407
"583","shearwater",0.536,0.058,293,5.69431248818931
"584","thrilled",0.478,0,139,5.2257466737132
"585","bonheur",0.522,0.044,173,5.85615551363972
"586","circa",0.478,0,135,6.79292477685742
