"word","positive","negative","freq","idf"
"global",0.824,0.002,5948,1.93605709420603
"excited",0.822,0,902,3.42325364884204
"marks",0.822,0,233,4.72649860328965
"operate",0.82,0,831,3.52165281767737
"leading",0.816,0,5893,1.81191955190995
"casino",0.82,0.004,289,5.51582970770252
"operators",0.816,0,590,4.07344587993159
"heat",0.83,0.014,267,5.33190686954159
"elliptic",0.822,0.008,901,5.70587331059038
"develop",0.814,0,1567,2.98473089321967
"arc",0.818,0.004,87,6.08268316293817
"hospitals",0.81,0,151,5.40663041573753
"arm",0.81,0,89,6.42255098856052
"payment",0.812,0.004,2972,2.71130450429969
"european",0.806,0,1676,3.06931078476391
"digital",0.806,0,2120,3.12847934808076
"learning",0.802,0,491,5.08504679161007
"support",0.802,0,3579,2.28092912176162
"software",0.802,0,2158,3.19419641973778
"provide",0.802,0,2803,2.38452485692865
"competitive",0.802,0,739,3.67558537120864
"equipment",0.802,0,1433,3.24053675699648
"hstation",0.808,0.006,136,6.15288742161142
"technological",0.802,0,217,4.8770168781059
"sippi",0.824,0.022,205,6.49665896071425
"clients",0.8,0,1525,3.15988614656866
"transformation",0.8,0,492,4.27689821835561
"online",0.798,0,1410,3.41028941305532
"health",0.798,0,1154,3.52690217356352
"largest",0.796,0,2731,2.44688271797202
"thinfilm",0.814,0.018,870,4.8770168781059
"roll",0.796,0,61,6.11716933900934
"disinfectant",0.8,0.01,38,7.1644883332899
"thinol",0.79,0.002,55,6.37603097292563
"potentially",0.79,0.004,272,4.68375705491238
"products",0.786,0,5222,2.18396866309827
"unique",0.782,0,1444,3.07767203748859
"citizens",0.786,0.004,54,6.26840030873327
"collaboration",0.778,0,1687,3.15624647012121
"navamedic",0.786,0.008,479,5.30819034292428
"gig",0.808,0.032,934,4.90794717879726
"printed",0.788,0.014,466,4.96726375595368
"sportsbook",0.778,0.004,113,6.20897688826247
"selected",0.774,0,795,3.61056986461008
"enable",0.772,0,1475,2.97862866223203
"protection",0.772,0,241,4.90272523481611
"renewable",0.776,0.004,1440,3.37237562453431
"skin",0.772,0,144,5.89754072980258
"truly",0.768,0,356,4.30514868464147
"consideration",0.772,0.006,1419,3.51512963733825
"løvestam",0.768,0.002,76,6.06587604462179
"far",0.764,0,515,4.05990165482383
"fintech",0.762,0,394,5.30040820248222
"unmatched",0.76,0,108,5.49678151273183
"induce",0.76,0,41,6.52263444711751
"lymrit",0.756,0,46,6.94134478197569
"dose",0.766,0.012,176,5.95552798745293
"resistance",0.754,0,106,5.79077275437687
"dosing",0.752,0,59,6.47134115272996
"enables",0.752,0,970,3.39057862999139
"exclusive",0.754,0.002,402,4.33127498923369
"jersey",0.752,0,61,6.63386008222773
"advanced",0.752,0,2006,2.84500221709092
"rein",0.752,0,65,6.24819760141575
"manufacturing",0.75,0,941,3.73535158293851
"skajem",0.75,0.002,78,6.289019595936
"lng",0.768,0.02,786,4.4236483093647
"nhl",0.748,0,107,6.44664854013959
"crayon",0.76,0.012,565,5.70587331059038
"kyoto",0.802,0.056,262,6.66371304537741
"salt",0.75,0.004,76,6.42255098856052
"clinical",0.754,0.01,1572,3.71133121269704
"todays",0.74,0,449,4.13435463301858
"leader",0.74,0,2055,2.6980056670757
"expand",0.74,0,674,3.74022567869675
"equinor",0.74,0,563,4.66305238155069
"respiratory",0.742,0.002,61,6.63386008222773
"potential",0.738,0,3270,2.36498567784172
"service",0.738,0,2535,2.67753877868924
"surface",0.738,0,194,5.07262427161151
"multiyear",0.738,0,71,6.0330862217988
"jointly",0.736,0,344,4.42687932994615
"device",0.738,0.002,387,4.50422879602404
"opportunity",0.73,0,1223,3.18107533177508
"analytics",0.73,0,289,4.73527058936249
"hofshagen",0.73,0,27,6.86438374083956
"magnushofshagencrayoncom",0.73,0,27,6.86438374083956
"shows",0.728,0,387,4.27968762044319
"institutions",0.728,0,228,4.91319653468341
"owned",0.726,0,2470,2.52395100346452
"exciting",0.726,0,678,3.72567408805644
"partnership",0.724,0,1614,3.18761435554214
"corp",0.724,0,128,5.74137999904729
"ecosystem",0.722,0,340,4.53259949315326
"sensor",0.752,0.03,1875,3.8304997013212
"hospital",0.728,0.006,423,4.8669157821194
"acute",0.722,0,60,6.44664854013959
"amendment",0.724,0.004,176,5.27741868425752
"provides",0.722,0.002,1968,2.69056643391176
"connectivity",0.724,0.004,291,4.91319653468341
"cards",0.752,0.034,1057,4.36112795238337
"council",0.718,0,268,4.79424459182204
"huddlestock",0.738,0.022,464,6.09977759629747
"scale",0.716,0,881,3.54148162332667
"scaling",0.714,0,97,5.68288379236569
"strong",0.714,0,3878,2.22070534618149
"significantly",0.714,0,937,3.42206811224794
"tools",0.712,0,328,4.47324525050407
"card",0.746,0.036,1347,4.1762843261567
"norways",0.71,0,454,4.16875605973591
"single",0.71,0,438,4.22004935412346
"nordics",0.712,0.004,485,4.230631463454
"badin",0.706,0,248,5.35619956211064
"mutant",0.716,0.01,54,7.38763188460411
"algorithms",0.704,0,107,5.67158423711175
"knowhow",0.702,0,115,5.50626025668637
"contactless",0.712,0.012,180,5.69431248818931
"wireless",0.7,0,212,5.05427513294331
"direct",0.702,0.002,552,3.99480275261247
"euro",0.704,0.004,187,5.35619956211064
"based",0.698,0,4774,1.95390988104987
"amortization",0.712,0.016,125,5.8035117801543
"expertise",0.696,0,1349,3.15897498477442
"obtaining",0.698,0.002,102,5.58550962834051
"convenience",0.698,0.004,168,5.15627430089843
"wifi",0.694,0,47,7.26984884894773
"sutija",0.692,0,92,5.82948726655756
"see",0.692,0,2718,2.3527105646277
"bringing",0.692,0,421,4.16625917953732
"tumor",0.722,0.03,131,5.70587331059038
"observed",0.708,0.018,68,6.13486891610874
"maintenance",0.692,0.002,927,3.75664640890908
"installed",0.686,0,435,4.28248482506425
"medicines",0.686,0,84,5.91172536479453
"shipment",0.694,0.008,57,6.3315792103548
"biomass",0.684,0,269,4.96172357557807
"supplier",0.684,0,1287,3.18949052870037
"extremely",0.684,0,373,4.2937525499106
"hrs",0.688,0.004,169,5.14294077002897
"hygiene",0.688,0.006,47,6.42255098856052
"delivering",0.682,0,1076,3.27368896431338
"harmonychain",0.76,0.078,116,6.72623340235875
"forma",0.68,0,68,6.31007300513383
"benelux",0.678,0,56,6.52263444711751
"treasure",0.678,0,67,7.21578162767745
"waste",0.692,0.014,1397,3.9740119829434
"conventional",0.678,0,226,4.84210061299968
"oceans",0.676,0,217,5.02442216979363
"grid",0.676,0,276,4.8770168781059
"thermal",0.694,0.018,445,4.61504316236433
"fueling",0.698,0.022,455,5.05427513294331
"commented",0.676,0.002,715,3.66495505090688
"identity",0.672,0,115,5.77819397217001
"letter",0.672,0,840,3.6847878901398
"bacterial",0.672,0,55,6.66371304537741
"mwh",0.67,0,98,6.06587604462179
"tract",0.67,0,41,6.86438374083956
"asic",0.75,0.08,96,6.37603097292563
"one",0.668,0,5933,1.76091045608437
"term",0.668,0,1554,3.04058496882626
"synergies",0.668,0,313,4.58427150369758
"nel",0.726,0.06,1278,4.5918761030828
"issuers",0.674,0.01,171,5.25494582840546
"heritage",0.664,0,72,6.00133752348422
"akva",0.67,0.008,484,5.47808937971967
"frontend",0.662,0,89,5.85615551363972
"includes",0.662,0,2101,2.61430245563457
"nfc",0.676,0.016,507,5.45974024105148
"farmers",0.662,0.004,174,5.10397480149558
"electronics",0.676,0.02,1049,4.23864218720008
"mnok",0.674,0.02,1215,3.74022567869675
"davor",0.654,0,83,5.82948726655756
"fuels",0.658,0.004,406,4.42042769466466
"europes",0.652,0,234,4.78032325330343
"memory",0.676,0.024,189,5.57525312817332
"theft",0.652,0,46,6.35355811707357
"wearables",0.654,0.002,185,4.97283480100314
"lifecare",0.732,0.08,362,6.15288742161142
"first",0.652,0.002,7315,1.73251458192919
"represent",0.65,0,442,4.20957805425617
"digitalization",0.65,0,90,5.84273249330758
"ras",0.682,0.034,282,4.87195357614936
"recognition",0.648,0,341,4.52900882502253
"improved",0.648,0,761,3.75004572487773
"viral",0.648,0,55,6.86438374083956
"clinically",0.646,0,34,6.72623340235875
"san",0.646,0,295,5.01855705034123
"volatility",0.656,0.01,85,5.95552798745293
"medtech",0.648,0.002,78,6.09977759629747
"therapies",0.65,0.006,206,5.16978802006516
"trade",0.644,0,754,3.748402339134
"enter",0.644,0,447,4.15880572888274
"henrikbadinscanshipno",0.644,0,53,6.18992869329177
"maximising",0.644,0,37,6.57670166838778
"ultrasound",0.642,0,394,5.03032189192082
"preclinical",0.642,0,151,5.53524779355962
"announce",0.64,0,1893,2.65362882677305
"locations",0.64,0,450,4.18641099497463
"drugs",0.64,0.002,163,5.51582970770252
"sensorfusion",0.638,0,160,5.81641518499021
"implantable",0.642,0.004,30,6.82801609666869
"bulk",0.636,0,558,4.44648780133452
"lilotomab",0.674,0.038,49,7.11569816912047
"entitled",0.634,0,235,4.8669157821194
"system",0.634,0,2529,2.84367242966092
"transportation",0.634,0,1029,3.4656585483228
"advisory",0.638,0.004,306,4.67128288068721
"moulin",0.64,0.006,33,7.26984884894773
"havila",0.682,0.05,255,5.48739177238199
"fda",0.648,0.018,136,5.98583333694826
"various",0.63,0.002,1043,3.30797803779201
"models",0.628,0.002,235,4.8669157821194
"quarters",0.628,0.002,236,4.85195290944269
"nio",0.706,0.08,236,6.63386008222773
"disposable",0.624,0,83,5.8035117801543
"preparing",0.624,0,136,5.28502328364274
"smartcard",0.622,0,48,6.63386008222773
"create",0.622,0,941,3.46318635917741
"heuman",0.644,0.022,107,6.01708588045236
"cofounder",0.628,0.008,93,5.74137999904729
"demonstrates",0.62,0,315,4.43990883023648
"jeshuddlestockcom",0.62,0,28,6.94134478197569
"tumour",0.622,0.004,69,6.24819760141575
"roadmap",0.618,0,173,5.16978802006516
"affiliate",0.672,0.054,129,5.71756935035358
"begin",0.616,0,280,4.60339254514435
"innovative",0.618,0.002,1457,3.08525740887785
"cost",0.622,0.008,2203,2.79377545851629
"indications",0.622,0.008,145,5.4240221584494
"combination",0.618,0.004,1382,3.4644216897854
"commitment",0.614,0,688,3.75664640890908
"archer",0.678,0.064,444,5.36443006124715
"disruptive",0.616,0.004,109,5.64936110032704
"mobile",0.614,0.002,3570,2.62813246330217
"green",0.64,0.028,2452,3.20177221354624
"addressing",0.61,0,149,5.18348686442332
"signed",0.608,0,2696,2.42173248434925
"loi",0.618,0.01,215,5.37272886406185
"regimens",0.608,0,21,7.38763188460411
"efficient",0.606,0,1345,3.06598576091914
"california",0.64,0.034,282,4.81788635487908
"launch",0.632,0.028,838,3.78179442319231
"facility",0.61,0.006,2908,2.88851689995653
"grow",0.604,0,787,3.59354817704065
"polight",0.664,0.06,370,6.00133752348422
"ecofriendly",0.604,0,52,6.26840030873327
"electrolyzer",0.604,0,61,6.86438374083956
"demerger",0.604,0.004,249,5.75350135957964
"highest",0.6,0,583,3.94361450575903
"websites",0.6,0,104,5.85615551363972
"generating",0.602,0.002,170,5.19737597658399
"production",0.61,0.012,8478,1.97319953950039
"patients",0.64,0.042,1598,3.98435333673813
"commercial",0.602,0.004,2396,2.68999647094393
"installations",0.598,0,383,4.41401741630374
"laboratory",0.598,0,110,5.81641518499021
"upcoming",0.598,0,312,4.48004799782683
"scientific",0.602,0.004,303,4.71348323517758
"tilapia",0.622,0.024,49,7.32700726278768
"sports",0.602,0.006,477,4.96172357557807
"worldwide",0.598,0.002,1577,2.85839826470596
"partnering",0.594,0,168,5.12326800443026
"access",0.6,0.006,1769,2.99937470017959
"tactilis",0.616,0.022,114,7.45217040574168
"barcode",0.598,0.006,80,5.98583333694826
"karolinska",0.596,0.004,38,7.1644883332899
"availability",0.59,0,167,5.08504679161007
"designation",0.598,0.008,87,6.75902322518174
"modular",0.592,0.002,172,5.38953598237823
"roro",0.59,0,48,6.44664854013959
"compelling",0.588,0,124,5.41528847848064
"departments",0.588,0,51,6.37603097292563
"paths",0.588,0,22,7.06917815348558
"electrification",0.594,0.008,227,4.97843705655181
"treatment",0.6,0.014,1484,3.68632991049162
"manufacturer",0.584,0,325,4.53259949315326
"millions",0.586,0.002,157,5.24023968101577
"electric",0.61,0.026,578,4.37332322547719
"launching",0.584,0.002,124,5.40663041573753
"merchants",0.584,0.002,74,6.00133752348422
"keytruda",0.586,0.004,100,6.79292477685742
"schlumberger",0.624,0.042,107,6.31007300513383
"wounds",0.616,0.034,136,6.24819760141575
"pipe",0.582,0,76,6.08268316293817
"threats",0.584,0.004,47,6.57670166838778
"cbm",0.584,0.004,109,6.00133752348422
"gaming",0.612,0.034,808,4.40764796801826
"smartcards",0.578,0,77,5.94071290166779
"heating",0.578,0,168,5.54510009000263
"cleaner",0.578,0,245,4.76659306049153
"iot",0.642,0.064,376,4.75754322497161
"antibiotics",0.592,0.014,86,6.01708588045236
"doses",0.576,0,25,6.98216677649595
"footprint",0.574,0,548,3.98435333673813
"hematology",0.584,0.01,28,7.11569816912047
"spain",0.58,0.006,657,4.07117573139705
"purification",0.574,0,76,6.11716933900934
"purified",0.574,0,31,6.75902322518174
"awards",0.576,0.004,388,4.57672429806219
"traditionally",0.576,0.004,37,6.60487254535448
"engine",0.57,0,103,5.85615551363972
"smith",0.57,0,84,6.01708588045236
"tolerated",0.568,0,34,6.72623340235875
"across",0.566,0,2430,2.68544842444602
"sources",0.572,0.006,216,4.9562139197671
"server",0.566,0,103,5.95552798745293
"consumers",0.566,0.002,547,4.31378183178617
"developing",0.568,0.004,1680,2.9391155086614
"korea",0.564,0,397,4.48004799782683
"spirits",0.564,0,39,7.11569816912047
"residuals",0.564,0,26,6.90212406882241
"infrastructure",0.562,0,1501,3.28498851956732
"strengthens",0.562,0,258,4.64679186067891
"player",0.562,0,410,4.24132675257075
"swan",0.562,0,35,7.06917815348558
"waiting",0.562,0,51,6.26840030873327
"irrigation",0.562,0,30,7.32700726278768
"reduction",0.59,0.03,879,3.67711325538669
"subsidiaries",0.56,0,846,3.53085735340644
"sensors",0.596,0.036,1207,3.84305592009661
"meets",0.56,0,136,5.25494582840546
"label",0.558,0,159,5.32393869989242
"observe",0.604,0.046,290,5.20439354924263
"along",0.558,0,379,4.29092369371012
"regardless",0.562,0.004,45,6.35355811707357
"intake",0.558,0.002,207,5.11679548992465
"license",0.57,0.014,1100,3.60486371503323
"pitfalls",0.558,0.002,41,6.44664854013959
"within",0.556,0,4558,2.02810183388809
"milestones",0.556,0,125,5.45974024105148
"nava",0.556,0,99,5.88355448782784
"remotely",0.558,0.002,73,6.06587604462179
"handled",0.554,0,66,6.00133752348422
"optimal",0.554,0,275,4.62288633982536
"rewritable",0.554,0.002,56,6.22839497411957
"hard",0.552,0,341,4.55074881165893
"steam",0.554,0.002,53,6.39902049115033
"drill",0.586,0.036,156,5.52549161861426
"substantial",0.55,0,682,3.76495900872844
"competence",0.55,0,443,4.24132675257075
"treated",0.55,0,127,5.47808937971967
"animal",0.558,0.008,135,5.50626025668637
"commercialize",0.548,0,125,5.36443006124715
"stangeland",0.562,0.014,49,6.86438374083956
"vision",0.548,0,718,3.71133121269704
"plants",0.56,0.014,1092,3.78860875961204
"inc",0.554,0.008,1180,3.43278888199304
"meet",0.546,0,749,3.6589309363035
"wireline",0.548,0.002,41,7.02472639091474
"aquaculture",0.55,0.006,746,4.28528987599186
"annualized",0.544,0,40,6.72623340235875
"danielsen",0.542,0,110,5.57525312817332
"antibody",0.548,0.008,97,5.88355448782784
"demonstrating",0.54,0,131,5.33190686954159
"large",0.54,0,2162,2.65637986014494
"utilization",0.544,0.004,429,4.34609007501883
"statkraft",0.54,0,107,6.54930269419967
"discuss",0.538,0,156,5.13634008599762
"generation",0.55,0.012,755,3.82339487569745
"station",0.548,0.01,542,4.64276771037918
"real",0.552,0.014,686,4.013891349175
"encryption",0.548,0.012,44,7.06917815348558
"long",0.536,0,1390,3.06432738574636
"centric",0.534,0,45,6.37603097292563
"proud",0.534,0,913,3.39172739519526
"target",0.538,0.004,844,3.64402753080093
"shell",0.558,0.024,245,5.20439354924263
"casinos",0.534,0,30,7.1644883332899
"specialty",0.532,0,234,4.84210061299968
"german",0.544,0.012,293,4.85691569878482
"especially",0.532,0,293,4.52900882502253
"clusters",0.532,0,48,6.66371304537741
"barents",0.53,0,216,5.27741868425752
"consulting",0.53,0,309,4.78494219915973
"investment",0.536,0.006,2680,2.70839837031596
"sector",0.536,0.006,1549,3.08779870630652
"electrolyser",0.578,0.048,349,5.29268615638831
"optional",0.534,0.004,168,5.26987147862214
"gundersen",0.532,0.002,115,5.71756935035358
"entities",0.536,0.008,196,5.13634008599762
"players",0.55,0.022,428,4.39502950405905
"hereid",0.528,0,22,7.11569816912047
"miniaturized",0.576,0.048,29,7.02472639091474
"deferral",0.574,0.046,54,6.47134115272996
"psw",0.554,0.028,113,7.26984884894773
"enabling",0.526,0.002,545,3.94761451109237
"order",0.528,0.006,3426,2.45136100579672
"represents",0.522,0,1075,3.27368896431338
"provision",0.524,0.002,313,4.53259949315326
"battery",0.54,0.018,736,4.22532641122431
"wwasa",0.524,0.002,72,7.52116327722863
"bareboat",0.556,0.036,185,5.46887272461475
"lowcost",0.522,0.002,153,5.3160335203853
"produce",0.52,0,753,3.65593243330725
"targeting",0.522,0.002,393,4.25485875878932
"users",0.526,0.006,571,4.17880639558941
"serious",0.522,0.002,88,5.82948726655756
"education",0.518,0,150,5.51582970770252
"university",0.518,0,894,3.66798077182342
"according",0.518,0,1295,3.07851202073832
"continuity",0.518,0,125,5.48739177238199
"accelerating",0.518,0,148,5.21146071646572
"elabsol",0.516,0,35,6.60487254535448
"focused",0.52,0.004,1002,3.34129654156837
"promising",0.516,0,335,4.55810178596419
"treat",0.522,0.006,147,5.27741868425752
"development",0.522,0.008,8734,1.68635254016603
"accelerate",0.514,0,511,4.07572119376872
"charterer",0.518,0.004,55,6.289019595936
"zwipes",0.552,0.038,112,6.01708588045236
"siemens",0.514,0,130,6.24819760141575
"integrity",0.532,0.018,108,5.59587241537606
"mitsui",0.534,0.02,69,6.82801609666869
"refuelling",0.564,0.05,120,6.47134115272996
"covering",0.512,0,320,4.44648780133452
"storage",0.526,0.014,1901,3.42920250636181
"antitumor",0.522,0.01,29,7.02472639091474
"plt",0.526,0.014,35,6.60487254535448
"electrolysers",0.552,0.04,63,6.47134115272996
"professor",0.544,0.034,184,5.3160335203853
"solid",0.51,0,1132,3.29850926636316
"cpi",0.51,0,52,7.38763188460411
"highpressure",0.526,0.016,191,5.26987147862214
"fujitsu",0.548,0.038,47,7.32700726278768
"can",0.512,0.004,4995,1.9111683326726
"design",0.518,0.01,2163,2.82003377152378
"highly",0.508,0,1097,3.27266803517928
"jackup",0.51,0.002,197,5.28502328364274
"disinfection",0.602,0.096,78,6.75902322518174
"vehicles",0.54,0.034,772,4.16128404489721
"contingent",0.534,0.028,165,5.45974024105148
"biocarbon",0.552,0.048,111,6.75902322518174
"creating",0.504,0,634,3.77671397195989
"etia",0.526,0.022,139,5.84273249330758
"processing",0.504,0,1143,3.32181540599655
"rock",0.526,0.022,137,5.85615551363972
"subsidiary",0.504,0,2832,2.38915352077849
"human",0.522,0.018,538,4.13194208661319
"autofocus",0.508,0.004,63,6.06587604462179
"negotiate",0.504,0,32,6.72623340235875
"renamed",0.504,0,62,6.13486891610874
"network",0.516,0.014,1384,3.39749109991201
"managed",0.504,0.002,486,4.23329458087348
"alkaline",0.504,0.002,93,6.00133752348422
"applications",0.502,0.002,1471,3.2046279984476
"agasti",0.626,0.126,225,6.00133752348422
"history",0.5,0,367,4.30228745236043
"achievement",0.53,0.03,152,5.30819034292428
"birkeland",0.5,0,38,7.02472639091474
"adenovirus",0.502,0.002,34,6.90212406882241
"royalty",0.544,0.044,96,5.8035117801543
"volvo",0.5,0,35,7.11569816912047
"ecosystems",0.502,0.002,26,6.94134478197569
"viruses",0.528,0.03,95,6.04934674267058
"takle",0.498,0,44,6.72623340235875
"nonbinding",0.516,0.018,36,6.72623340235875
"certification",0.522,0.026,373,4.85195290944269
"notebooks",0.5,0.004,29,6.86438374083956
"decades",0.496,0,223,4.78958257871623
"ambitions",0.494,0,515,4.06439604441167
"nasams",0.494,0,81,7.11569816912047
"skog",0.512,0.018,437,5.88355448782784
"decarbonisation",0.492,0,66,6.08268316293817
"maximise",0.492,0,80,5.8035117801543
"tech",0.502,0.01,309,5.04222679442714
"france",0.512,0.02,533,4.09411251674014
"predictive",0.492,0,73,5.89754072980258
"germany",0.506,0.016,1015,3.59636508031177
"outsourcing",0.49,0,119,5.79077275437687
"configured",0.49,0,18,7.26984884894773
"gamborg",0.49,0,46,6.75902322518174
"say",0.49,0,62,6.08268316293817
"batteryless",0.496,0.008,24,7.02472639091474
"combat",0.488,0,107,5.8035117801543
"box",0.488,0,64,6.15288742161142
"congo",0.618,0.13,172,6.11716933900934
"silicon",0.496,0.01,626,4.40131883296661
"globally",0.488,0.002,715,3.69097029004812
"owners",0.486,0,717,3.73859833903738
"companies",0.486,0.002,4573,2.08215272502846
"urine",0.504,0.02,72,6.69448470404417
"systemic",0.54,0.056,55,6.44664854013959
"nonhodgkin",0.484,0,19,7.45217040574168
"akvas",0.482,0,36,7.06917815348558
"army",0.482,0,66,6.47134115272996
"hudl",0.482,0,48,6.69448470404417
"therapy",0.52,0.04,330,5.01855705034123
"contribute",0.48,0,779,3.61343519608337
"transition",0.48,0,904,3.59636508031177
"autoliners",0.494,0.014,85,6.79292477685742
"landmark",0.48,0,74,5.95552798745293
"fullservice",0.48,0,51,6.3315792103548
"acceptable",0.478,0,60,6.09977759629747
"cell",0.514,0.036,889,3.95163058074726
"intelligence",0.488,0.01,350,4.47324525050407
"shearwater",0.536,0.058,293,5.69431248818931
"thrilled",0.478,0,139,5.2257466737132
"bonheur",0.522,0.044,173,5.85615551363972
"circa",0.478,0,135,6.79292477685742
"often",0.478,0,70,5.97056586481747
"infection",0.476,0,130,5.67158423711175
"like",0.476,0,1140,3.24648325618421
"normand",0.522,0.046,302,5.30819034292428
"western",0.476,0,426,4.3195789494705
"cloud",0.48,0.004,486,4.56550922724205
"purifying",0.476,0,55,6.15288742161142
"tsxvzee",0.506,0.03,35,6.66371304537741
"carasent",0.516,0.04,79,7.38763188460411
"latvia",0.474,0,91,5.8697611656955
"ambition",0.476,0.002,755,3.72728051410471
"generic",0.472,0,44,7.02472639091474
"reserve",0.486,0.014,158,5.38953598237823
"recurring",0.488,0.016,285,4.83234443805431
"qualities",0.472,0,39,6.60487254535448
"increases",0.47,0,418,4.22797541939588
"metallurgical",0.472,0.002,68,6.90212406882241
"onto",0.476,0.006,89,5.81641518499021
"sugar",0.5,0.03,30,6.82801609666869
"drilling",0.58,0.11,3453,3.15806465244027
"heidiarnesenthinfilmno",0.47,0,13,7.59527124938236
"marketleading",0.468,0,65,6.00133752348422
"oncos",0.592,0.124,366,5.95552798745293
"county",0.468,0,293,4.91847359178425
"temperature",0.474,0.008,115,5.76577145217145
"continuation",0.466,0,332,4.40764796801826
"systematically",0.47,0.004,27,6.86438374083956
"lokotech",0.502,0.038,26,7.38763188460411
"science",0.464,0,371,4.54709250045582
"care",0.47,0.006,664,4.12953534658263
"flex",0.58,0.118,319,5.58550962834051
"integrates",0.462,0,115,5.49678151273183
"igc",0.486,0.024,93,6.82801609666869
"fossekompani",0.49,0.03,141,6.54930269419967
"huddlestocks",0.47,0.01,79,6.60487254535448
"realtime",0.46,0,148,5.4240221584494
"estate",0.496,0.036,550,4.28528987599186
"akofs",0.462,0.002,55,7.59527124938236
"kvaerner",0.458,0,66,6.289019595936
"molten",0.458,0,33,7.67531395705589
"indias",0.458,0,41,7.11569816912047
"newly",0.456,0,287,4.5957001995212
"shareholderelected",0.456,0,90,6.01708588045236
"confidence",0.456,0,410,4.20438323737906
"oncolytic",0.508,0.052,119,5.81641518499021
"allow",0.454,0,507,4.00961783839761
"arendals",0.492,0.038,147,6.49665896071425
"display",0.454,0,154,5.33993904123886
"craft",0.47,0.016,47,7.21578162767745
"advantage",0.456,0.002,269,4.69216046570876
